Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
60,17,174.16.0.5,192.168.50.1,,1543677760.004519,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.004521,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.00581,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.005812,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.03165,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.031652,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.457649,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.457714,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.7088,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.708846,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.797745,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.797794,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.915741,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677760.915743,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.296449,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.296502,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.702329,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.702331,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.770342,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.770344,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.947998,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677761.947999,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.136416,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.136418,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.207166,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.207167,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.208582,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.208584,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.234423,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.23443,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.366864,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.366866,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.507442,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.507444,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.54579,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.545791,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.565178,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.56518,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.585193,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.585195,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.705901,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.705902,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.79055,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.790552,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.817838,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.81784,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.819577,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.819626,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.876021,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.876103,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.878099,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.878101,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.889961,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.890011,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.891422,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.891471,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.899671,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.899672,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.905157,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.905203,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.917559,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677762.917608,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.108023,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.108025,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.206471,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.206513,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.467811,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.467813,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.48234,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.482342,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.493251,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.493339,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.550386,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.550435,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.666308,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.666309,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.691969,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.69197,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.78996,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.789962,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.807388,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.807389,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.808508,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.80851,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.835653,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.835654,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.872461,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.872463,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.876333,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.876382,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.889747,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677763.889749,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.012003,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.012005,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.071248,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.07125,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.072162,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.07221,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.098322,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.098396,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.481392,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.481394,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.840376,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.840377,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.84157,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.841626,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.86787,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.867918,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.871994,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.871995,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.919566,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.919568,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.938093,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677764.938172,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677765.135871,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677765.135919,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677765.199522,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677765.199524,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677765.840173,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677765.840174,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.11314,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.113141,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.114615,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.114617,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.140557,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.140558,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.348792,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.348794,21.66203431283564780616881015
60,17,174.16.0.5,192.168.50.1,,1543677766.349699,21.66203431283564780616881015
