Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
482,17,194.16.0.5,192.168.50.1,,1543675076.429707,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429708,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429708,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429757,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429865,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429866,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429867,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429868,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429868,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429869,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.42987,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429871,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.42999,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.429991,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430069,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43007,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43007,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430071,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430171,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430172,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430269,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43027,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430272,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430273,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430326,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430327,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430328,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430329,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430378,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43038,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430398,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430399,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430445,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430484,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430485,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430487,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430492,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430534,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430687,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430688,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430691,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430693,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430693,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430694,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430695,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430736,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430737,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430738,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430839,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43084,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430841,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430842,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430918,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43092,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430921,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430922,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43095,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.430951,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431005,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431006,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431051,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431052,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431108,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431109,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431158,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43116,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43116,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431161,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43121,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431211,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431211,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431212,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431213,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431213,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431214,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431215,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.43139,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431391,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431392,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431433,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431434,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431435,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431486,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431487,-5.999434553293352101564427553
482,17,194.16.0.5,192.168.50.1,,1543675076.431488,-5.999434553293352101564427553
