Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
60,17,184.16.0.5,192.168.50.1,,1543681334.985071,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681334.985073,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681335.544169,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681335.544171,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681335.74999,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681335.749991,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681344.145874,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681344.145875,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681345.866489,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681345.86649,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681346.268822,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681346.268823,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681346.322633,-0.04580423056576309195412275749
60,17,184.16.0.5,192.168.50.1,,1543681346.322634,-0.04580423056576309195412275749
381,17,206.16.0.5,192.168.50.1,,1543680905.40413,-0.05889115358455254679815783106
381,17,206.16.0.5,192.168.50.1,,1543680905.404132,-0.05889115358455254679815783106
381,17,206.16.0.5,192.168.50.1,,1543680905.408188,-0.05889115358455254679815783106
381,17,206.16.0.5,192.168.50.1,,1543680905.408191,-0.05889115358455254679815783106
334,17,206.16.0.5,192.168.50.1,,1543680905.970977,-0.06543461509394727422017536784
334,17,206.16.0.5,192.168.50.1,,1543680905.970979,-0.06543461509394727422017536784
334,17,206.16.0.5,192.168.50.1,,1543680905.99136,-0.06543461509394727422017536784
334,17,206.16.0.5,192.168.50.1,,1543680905.991362,-0.06543461509394727422017536784
377,17,206.16.0.5,192.168.50.1,,1543680907.077901,-0.06543461509394727422017536784
377,17,206.16.0.5,192.168.50.1,,1543680907.077903,-0.06543461509394727422017536784
217,17,206.16.0.5,192.168.50.1,,1543680907.224517,-0.05234769207515781937614029428
217,17,206.16.0.5,192.168.50.1,,1543680907.224518,-0.05234769207515781937614029428
217,17,206.16.0.5,192.168.50.1,,1543680907.227253,-0.05234769207515781937614029428
217,17,206.16.0.5,192.168.50.1,,1543680907.227255,-0.05234769207515781937614029428
220,17,206.16.0.5,192.168.50.1,,1543680908.839286,-0.05889115358455254679815783106
220,17,206.16.0.5,192.168.50.1,,1543680908.839288,-0.05889115358455254679815783106
383,17,206.16.0.5,192.168.50.1,,1543680911.950741,-0.05889115358455254679815783106
383,17,206.16.0.5,192.168.50.1,,1543680911.950744,-0.05889115358455254679815783106
378,17,206.16.0.5,192.168.50.1,,1543680923.067835,-0.05234769207515781937614029428
378,17,206.16.0.5,192.168.50.1,,1543680923.067837,-0.05234769207515781937614029428
378,17,206.16.0.5,192.168.50.1,,1543680923.073714,-0.05234769207515781937614029428
378,17,206.16.0.5,192.168.50.1,,1543680923.073716,-0.05234769207515781937614029428
378,17,206.16.0.5,192.168.50.1,,1543680923.075513,-0.05234769207515781937614029428
378,17,206.16.0.5,192.168.50.1,,1543680923.075515,-0.05234769207515781937614029428
342,17,206.16.0.5,192.168.50.1,,1543680928.408277,-0.1112388456597103661742981253
342,17,206.16.0.5,192.168.50.1,,1543680928.408278,-0.1112388456597103661742981253
342,17,206.16.0.5,192.168.50.1,,1543680928.412361,-0.1112388456597103661742981253
342,17,206.16.0.5,192.168.50.1,,1543680928.412363,-0.1112388456597103661742981253
342,17,206.16.0.5,192.168.50.1,,1543680928.413414,-0.1112388456597103661742981253
342,17,206.16.0.5,192.168.50.1,,1543680928.413416,-0.1112388456597103661742981253
