Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
317,17,174.16.0.5,192.168.50.1,,1543682193.261592,-0.01264313470594684222459937739
317,17,174.16.0.5,192.168.50.1,,1543682193.261593,-0.01264313470594684222459937739
317,17,174.16.0.5,192.168.50.1,,1543682193.26208,-0.01264313470594684222459937739
317,17,174.16.0.5,192.168.50.1,,1543682193.262081,-0.01264313470594684222459937739
326,17,174.16.0.5,192.168.50.1,,1543682193.262375,-0.01264313470594684222459937739
326,17,174.16.0.5,192.168.50.1,,1543682193.262376,-0.01264313470594684222459937739
326,17,174.16.0.5,192.168.50.1,,1543682193.262799,-0.01264313470594684222459937739
326,17,174.16.0.5,192.168.50.1,,1543682193.2628,-0.01264313470594684222459937739
381,17,174.16.0.5,192.168.50.1,,1543682193.263353,-0.01264313470594684222459937739
381,17,174.16.0.5,192.168.50.1,,1543682193.263354,-0.01264313470594684222459937739
381,17,174.16.0.5,192.168.50.1,,1543682193.263664,-0.01264313470594684222459937739
381,17,174.16.0.5,192.168.50.1,,1543682193.263664,-0.01264313470594684222459937739
391,17,174.16.0.5,192.168.50.1,,1543682193.264142,-0.01264313470594684222459937739
391,17,174.16.0.5,192.168.50.1,,1543682193.264144,-0.01264313470594684222459937739
391,17,174.16.0.5,192.168.50.1,,1543682193.264543,-0.01264313470594684222459937739
391,17,174.16.0.5,192.168.50.1,,1543682193.264544,-0.01264313470594684222459937739
74,6,175.16.0.5,192.168.50.1,S,1543682131.902809,-0.006321567352973421112299688693
74,6,175.16.0.5,192.168.50.1,S,1543682131.90281,-0.006321567352973421112299688693
66,6,175.16.0.5,192.168.50.1,A,1543682132.180939,-0.02528626941189368444919875477
66,6,175.16.0.5,192.168.50.1,A,1543682132.18094,-0.02528626941189368444919875477
66,6,175.16.0.5,192.168.50.1,A,1543682132.462137,-0.02528626941189368444919875477
66,6,175.16.0.5,192.168.50.1,A,1543682132.462138,-0.02528626941189368444919875477
87,6,175.16.0.5,192.168.50.1,PA,1543682132.462139,-0.006321567352973421112299688693
87,6,175.16.0.5,192.168.50.1,PA,1543682132.46214,-0.006321567352973421112299688693
506,6,175.16.0.5,192.168.50.1,PA,1543682132.740639,-0.006321567352973421112299688693
506,6,175.16.0.5,192.168.50.1,PA,1543682132.74064,-0.006321567352973421112299688693
114,6,175.16.0.5,192.168.50.1,PA,1543682133.060485,-0.006321567352973421112299688693
114,6,175.16.0.5,192.168.50.1,PA,1543682133.060486,-0.006321567352973421112299688693
82,6,175.16.0.5,192.168.50.1,PA,1543682133.345298,-0.006321567352973421112299688693
82,6,175.16.0.5,192.168.50.1,PA,1543682133.3453,-0.006321567352973421112299688693
118,6,175.16.0.5,192.168.50.1,PA,1543682133.663983,-0.01264313470594684222459937739
