Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
74,6,175.16.0.5,192.168.50.1,S,1543683569.28028,-0.02475776063108918283241668034
74,6,175.16.0.5,192.168.50.1,S,1543683569.280281,-0.02475776063108918283241668034
74,6,175.16.0.5,192.168.50.1,S,1543683570.279021,-0.02475776063108918283241668034
74,6,175.16.0.5,192.168.50.1,S,1543683570.279022,-0.02475776063108918283241668034
66,6,175.16.0.5,192.168.50.1,A,1543683570.545576,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,A,1543683570.545578,-0.07427328189326754849725004102
81,6,175.16.0.5,192.168.50.1,PA,1543683570.545579,-0.01237888031554459141620834017
81,6,175.16.0.5,192.168.50.1,PA,1543683570.54558,-0.01237888031554459141620834017
66,6,175.16.0.5,192.168.50.1,A,1543683570.824335,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,A,1543683570.824337,-0.07427328189326754849725004102
714,6,175.16.0.5,192.168.50.1,PA,1543683570.82442,-0.01237888031554459141620834017
714,6,175.16.0.5,192.168.50.1,PA,1543683570.824421,-0.01237888031554459141620834017
66,6,175.16.0.5,192.168.50.1,A,1543683571.135041,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,A,1543683571.135042,-0.07427328189326754849725004102
338,6,175.16.0.5,192.168.50.1,PA,1543683571.136258,-0.01237888031554459141620834017
338,6,175.16.0.5,192.168.50.1,PA,1543683571.136259,-0.01237888031554459141620834017
66,6,175.16.0.5,192.168.50.1,A,1543683571.394222,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,A,1543683571.394224,-0.07427328189326754849725004102
82,6,175.16.0.5,192.168.50.1,PA,1543683571.396825,-0.01237888031554459141620834017
82,6,175.16.0.5,192.168.50.1,PA,1543683571.396827,-0.01237888031554459141620834017
118,6,175.16.0.5,192.168.50.1,PA,1543683571.708516,-0.02475776063108918283241668034
118,6,175.16.0.5,192.168.50.1,PA,1543683571.708518,-0.02475776063108918283241668034
134,6,175.16.0.5,192.168.50.1,PA,1543683571.983349,-0.01237888031554459141620834017
134,6,175.16.0.5,192.168.50.1,PA,1543683571.98335,-0.01237888031554459141620834017
150,6,175.16.0.5,192.168.50.1,PA,1543683572.256806,-0.02475776063108918283241668034
150,6,175.16.0.5,192.168.50.1,PA,1543683572.256807,-0.02475776063108918283241668034
166,6,175.16.0.5,192.168.50.1,PA,1543683574.793779,-0.01237888031554459141620834017
166,6,175.16.0.5,192.168.50.1,PA,1543683574.793781,-0.01237888031554459141620834017
150,6,175.16.0.5,192.168.50.1,PA,1543683577.283467,-0.02475776063108918283241668034
150,6,175.16.0.5,192.168.50.1,PA,1543683577.283468,-0.02475776063108918283241668034
118,6,175.16.0.5,192.168.50.1,PA,1543683579.51008,-0.02475776063108918283241668034
118,6,175.16.0.5,192.168.50.1,PA,1543683579.510081,-0.02475776063108918283241668034
66,6,175.16.0.5,192.168.50.1,FA,1543683579.510082,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,FA,1543683579.510083,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,A,1543683579.784022,-0.07427328189326754849725004102
66,6,175.16.0.5,192.168.50.1,A,1543683579.784023,-0.07427328189326754849725004102
74,6,178.16.0.5,192.168.50.1,S,1543683776.886215,-0.01237888031554459141620834017
74,6,178.16.0.5,192.168.50.1,S,1543683776.886216,-0.01237888031554459141620834017
66,6,178.16.0.5,192.168.50.1,A,1543683776.886503,-0.04951552126217836566483336068
66,6,178.16.0.5,192.168.50.1,A,1543683776.886505,-0.04951552126217836566483336068
454,6,178.16.0.5,192.168.50.1,PA,1543683776.892106,-0.01237888031554459141620834017
454,6,178.16.0.5,192.168.50.1,PA,1543683776.892107,-0.01237888031554459141620834017
66,6,178.16.0.5,192.168.50.1,A,1543683776.892651,-0.04951552126217836566483336068
66,6,178.16.0.5,192.168.50.1,A,1543683776.892652,-0.04951552126217836566483336068
509,6,178.16.0.5,192.168.50.1,PA,1543683777.580733,-0.01237888031554459141620834017
509,6,178.16.0.5,192.168.50.1,PA,1543683777.580734,-0.01237888031554459141620834017
66,6,178.16.0.5,192.168.50.1,A,1543683777.581441,-0.04951552126217836566483336068
66,6,178.16.0.5,192.168.50.1,A,1543683777.581442,-0.04951552126217836566483336068
66,6,178.16.0.5,192.168.50.1,FA,1543683782.583668,-0.04951552126217836566483336068
66,6,178.16.0.5,192.168.50.1,FA,1543683782.583669,-0.04951552126217836566483336068
316,17,179.16.0.5,192.168.50.1,,1543683875.954549,-0.02475776063108918283241668034
316,17,179.16.0.5,192.168.50.1,,1543683875.95455,-0.02475776063108918283241668034
316,17,179.16.0.5,192.168.50.1,,1543683875.954827,-0.02475776063108918283241668034
316,17,179.16.0.5,192.168.50.1,,1543683875.954828,-0.02475776063108918283241668034
325,17,179.16.0.5,192.168.50.1,,1543683875.955292,-0.02475776063108918283241668034
325,17,179.16.0.5,192.168.50.1,,1543683875.955294,-0.02475776063108918283241668034
325,17,179.16.0.5,192.168.50.1,,1543683875.955665,-0.02475776063108918283241668034
325,17,179.16.0.5,192.168.50.1,,1543683875.955668,-0.02475776063108918283241668034
380,17,179.16.0.5,192.168.50.1,,1543683875.956082,-0.02475776063108918283241668034
380,17,179.16.0.5,192.168.50.1,,1543683875.956137,-0.02475776063108918283241668034
380,17,179.16.0.5,192.168.50.1,,1543683875.957008,-0.02475776063108918283241668034
380,17,179.16.0.5,192.168.50.1,,1543683875.957009,-0.02475776063108918283241668034
390,17,179.16.0.5,192.168.50.1,,1543683875.958302,-0.02475776063108918283241668034
390,17,179.16.0.5,192.168.50.1,,1543683875.958304,-0.02475776063108918283241668034
390,17,179.16.0.5,192.168.50.1,,1543683875.9623,-0.02475776063108918283241668034
390,17,179.16.0.5,192.168.50.1,,1543683875.962301,-0.02475776063108918283241668034
314,17,179.16.0.5,192.168.50.1,,1543683400.288389,-0.02475776063108918283241668034
314,17,179.16.0.5,192.168.50.1,,1543683400.28839,-0.02475776063108918283241668034
314,17,179.16.0.5,192.168.50.1,,1543683400.291811,-0.02475776063108918283241668034
314,17,179.16.0.5,192.168.50.1,,1543683400.291813,-0.02475776063108918283241668034
323,17,179.16.0.5,192.168.50.1,,1543683400.295542,-0.02475776063108918283241668034
323,17,179.16.0.5,192.168.50.1,,1543683400.295544,-0.02475776063108918283241668034
323,17,179.16.0.5,192.168.50.1,,1543683400.300911,-0.02475776063108918283241668034
323,17,179.16.0.5,192.168.50.1,,1543683400.300913,-0.02475776063108918283241668034
378,17,179.16.0.5,192.168.50.1,,1543683400.31221,-0.02475776063108918283241668034
378,17,179.16.0.5,192.168.50.1,,1543683400.312211,-0.02475776063108918283241668034
378,17,179.16.0.5,192.168.50.1,,1543683400.321776,-0.02475776063108918283241668034
378,17,179.16.0.5,192.168.50.1,,1543683400.321777,-0.02475776063108918283241668034
388,17,179.16.0.5,192.168.50.1,,1543683400.33177,-0.02475776063108918283241668034
388,17,179.16.0.5,192.168.50.1,,1543683400.331771,-0.02475776063108918283241668034
388,17,179.16.0.5,192.168.50.1,,1543683400.341867,-0.02475776063108918283241668034
388,17,179.16.0.5,192.168.50.1,,1543683400.341868,-0.02475776063108918283241668034
66,6,18.169.50.8,52.84.94.238,S,1543683283.771622,-0.01237888031554459141620834017
66,6,18.169.50.8,52.84.94.238,S,1543683283.771623,-0.01237888031554459141620834017
60,6,18.169.50.8,52.84.94.238,A,1543683283.80235,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.802351,-0.1733043244176242798269167624
571,6,18.169.50.8,52.84.94.238,PA,1543683283.803471,-0.01237888031554459141620834017
571,6,18.169.50.8,52.84.94.238,PA,1543683283.803472,-0.01237888031554459141620834017
60,6,18.169.50.8,52.84.94.238,A,1543683283.836886,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.836887,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.837028,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.837029,-0.1733043244176242798269167624
180,6,18.169.50.8,52.84.94.238,PA,1543683283.839378,-0.01237888031554459141620834017
180,6,18.169.50.8,52.84.94.238,PA,1543683283.839379,-0.01237888031554459141620834017
231,6,18.169.50.8,52.84.94.238,PA,1543683283.842984,-0.01237888031554459141620834017
231,6,18.169.50.8,52.84.94.238,PA,1543683283.842984,-0.01237888031554459141620834017
1255,6,18.169.50.8,52.84.94.238,PA,1543683283.842985,-0.01237888031554459141620834017
1255,6,18.169.50.8,52.84.94.238,PA,1543683283.843048,-0.01237888031554459141620834017
179,6,18.169.50.8,52.84.94.238,PA,1543683283.847277,-0.01237888031554459141620834017
179,6,18.169.50.8,52.84.94.238,PA,1543683283.847278,-0.01237888031554459141620834017
152,6,18.169.50.8,52.84.94.238,PA,1543683283.847511,-0.02475776063108918283241668034
152,6,18.169.50.8,52.84.94.238,PA,1543683283.847511,-0.02475776063108918283241668034
152,6,18.169.50.8,52.84.94.238,PA,1543683283.847989,-0.02475776063108918283241668034
152,6,18.169.50.8,52.84.94.238,PA,1543683283.84799,-0.02475776063108918283241668034
161,6,18.169.50.8,52.84.94.238,PA,1543683283.848219,-0.01237888031554459141620834017
161,6,18.169.50.8,52.84.94.238,PA,1543683283.84822,-0.01237888031554459141620834017
60,6,18.169.50.8,52.84.94.238,A,1543683283.87054,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.870542,-0.1733043244176242798269167624
92,6,18.169.50.8,52.84.94.238,PA,1543683283.870678,-0.01237888031554459141620834017
92,6,18.169.50.8,52.84.94.238,PA,1543683283.87068,-0.01237888031554459141620834017
60,6,18.169.50.8,52.84.94.238,A,1543683283.882374,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.882374,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.882422,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.882423,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.883628,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.883629,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.884917,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.884918,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.886209,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.88621,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.887528,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.887528,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.888761,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.888762,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.9198,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.919801,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.92061,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.920611,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.92221,-0.1733043244176242798269167624
60,6,18.169.50.8,52.84.94.238,A,1543683283.922211,-0.1733043244176242798269167624
386,17,11.17.0.5,192.168.50.1,,1543683307.661082,-0.02475776063108918283241668034
386,17,11.17.0.5,192.168.50.1,,1543683307.661083,-0.02475776063108918283241668034
452,17,11.17.0.5,192.168.50.1,,1543683307.661084,-0.02475776063108918283241668034
395,17,11.17.0.5,192.168.50.1,,1543683307.661085,-0.02475776063108918283241668034
452,17,11.17.0.5,192.168.50.1,,1543683307.661086,-0.02475776063108918283241668034
395,17,11.17.0.5,192.168.50.1,,1543683307.661087,-0.02475776063108918283241668034
438,17,11.17.0.5,192.168.50.1,,1543683307.661088,-0.02475776063108918283241668034
438,17,11.17.0.5,192.168.50.1,,1543683307.661089,-0.02475776063108918283241668034
466,17,11.17.0.5,192.168.50.1,,1543683307.66109,-0.02475776063108918283241668034
466,17,11.17.0.5,192.168.50.1,,1543683307.661091,-0.02475776063108918283241668034
450,17,11.17.0.5,192.168.50.1,,1543683307.661587,-0.02475776063108918283241668034
450,17,11.17.0.5,192.168.50.1,,1543683307.661588,-0.02475776063108918283241668034
386,17,11.17.0.5,192.168.50.1,,1543683307.861054,-0.02475776063108918283241668034
386,17,11.17.0.5,192.168.50.1,,1543683307.861056,-0.02475776063108918283241668034
395,17,11.17.0.5,192.168.50.1,,1543683307.861057,-0.02475776063108918283241668034
438,17,11.17.0.5,192.168.50.1,,1543683307.861058,-0.02475776063108918283241668034
395,17,11.17.0.5,192.168.50.1,,1543683307.861059,-0.02475776063108918283241668034
