Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
66,6,134.164.179.104,237.42.73.104,A,1524142800.000002,3669.724770642201834862385321
54,6,116.247.53.59,194.86.8.105,A,1524142800.000003,3669.724770642201834862385321
42,17,76.84.214.183,205.180.132.122,,1524142800.000008,1834.862385321100917431192661
54,6,116.247.53.59,194.86.8.105,A,1524142800.000017,3669.724770642201834862385321
54,6,131.190.120.55,139.143.18.199,PA,1524142800.00002,1834.862385321100917431192661
66,6,136.171.196.172,192.135.13.57,S,1524142800.000025,1834.862385321100917431192661
66,6,135.183.136.185,192.31.17.121,A,1524142800.000029,1834.862385321100917431192661
42,17,42.91.173.163,192.31.4.45,,1524142800.000032,9174.311926605504587155963303
66,6,218.225.196.48,64.5.155.203,A,1524142800.000037,1834.862385321100917431192661
42,17,211.245.54.82,205.180.120.128,,1524142800.000037,1834.862385321100917431192661
66,6,30.15.71.79,205.112.3.65,A,1524142800.000039,3669.724770642201834862385321
66,6,30.15.71.79,205.112.3.65,A,1524142800.000041,3669.724770642201834862385321
54,6,197.202.24.164,205.195.153.178,A,1524142800.000043,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000044,49541.28440366972477064220183
42,17,77.167.188.105,205.112.14.173,,1524142800.000046,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000047,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.00005,49541.28440366972477064220183
42,17,121.149.58.132,212.227.179.154,,1524142800.000051,1834.862385321100917431192661
54,6,99.210.52.209,73.165.54.199,RA,1524142800.000058,1834.862385321100917431192661
42,17,106.99.137.54,244.31.75.61,,1524142800.00006,1834.862385321100917431192661
42,17,148.94.115.165,231.225.123.93,,1524142800.000063,1834.862385321100917431192661
42,17,218.225.193.52,231.225.123.95,,1524142800.000063,1834.862385321100917431192661
54,6,133.43.70.153,116.246.215.197,A,1524142800.000065,1834.862385321100917431192661
54,6,109.23.32.110,198.209.153.125,A,1524142800.000069,1834.862385321100917431192661
